totals	strain	pop_name
1324	B5460_CDC_13	B5460_CDC-13
1324	CEA10	CEA10
1329	Moose_3_1_2	Moose_3_1_2
1330	COH_885	R2_COH_885
1333	B7586_CDC_30	B7586_CDC-30
1334	F13619	F13619
1335	CM237	CM237
1335	F7763	F7763
1336	ATCC_46645	ATCC_46645
1338	A1163	A1163
1346	IFM_59361_2	IFM_59361-2
1377	IFM_59361_1	IFM_59361-1
1394	Afu_343_P_11	Afu_343-P-11
1397	AFIS_23107_CDC_12	AFIS_23107_CDC-12
1411	12_7504462	12-7504462
1442	IFM_59361	IFM_59361
1446	COH_400	COH_400
1450	IFM_60237	IFM_60237
