name_pop_genome_old	name_pop_genome_new	name_Pan_genome	OF_name	name_to_use_in_paper	clade	MAT_type
Afu_591_12	Afu_591-12	Afum_Afu_591_12	Afu_591_12	Afu_591-12	2	MAT1
Afu_942_09	Afu_942-09	Afum_Afu_942_09	Afu_942_09	Afu_942-09	2	MAT1
AFUG_031815_1869	AFUG_031815-1869	Afum_AFUG_031815_1869	AFUG_031815_1869	AFUG_031815-1869	1	MAT2
AFUG_082015_1200	AFUG_082015-1200	Afum_AFUG_082015_1200	AFUG_082015_1200	AFUG_082015-1200	1	MAT2
AFUG_100413_0667	AFUG_100413-0667	Afum_AFUG_100413_0667	AFUG_100413_0667	AFUG_100413-0667	1	MAT2
AP65	AP65	Afum_AP65	AP65	AP65	2	MAT1
ATCC_204305	ATCC_204305	Afum_ATCC_204305	ATCC_204305	ATCC_204305	1	MAT1
ATCC_46645	ATCC_46645	Afum_ATCC_46645	ATCC_46645	ATCC_46645	2	MAT1
A_fum_AZTEC_10_245	AZTEC_10_245	Afum_AZTEC_10_245	AZTEC_10_245	AZTEC_10_245	1	MAT1
A_fum_AZTEC_11_1066	AZTEC_11_1066	Afum_AZTEC_11_1066	AZTEC_11_1066	AZTEC_11_1066	1	MAT1
A_fum_AZTEC_12_128	AZTEC_12_128	Afum_AZTEC_12_128	AZTEC_12_128	AZTEC_12_128	1	MAT2
A_fum_AZTEC_13_751	AZTEC_13_751	Afum_AZTEC_13_751	AZTEC_13_751	AZTEC_13_751	1	MAT2
A_fum_AZTEC_14_484	AZTEC_14_484	Afum_AZTEC_14_484	AZTEC_14_484	AZTEC_14_484	1	MAT2
A_fum_AZTEC_17_234	AZTEC_17_234	Afum_AZTEC_17_234	AZTEC_17_234	AZTEC_17_234	1	MAT1
A_fum_AZTEC_18_233	AZTEC_18_233	Afum_AZTEC_18_233	AZTEC_18_233	AZTEC_18_233	1	MAT2
A_fum_AZTEC_2_251	AZTEC_2_251	Afum_AZTEC_2_251	AZTEC_2_251	AZTEC_2_251	1	MAT2
A_fum_AZTEC_3_226	AZTEC_3_226	Afum_AZTEC_3_226	AZTEC_3_226	AZTEC_3_226	1	MAT1
A_fum_AZTEC_4_250	AZTEC_4_250	Afum_AZTEC_4_250	AZTEC_4_250	AZTEC_4_250	1	MAT1
CEA10	CEA10	Afum_CEA10	CEA10	CEA10	1	MAT1
CF098	CF098	Afum_CF098	CF098	CF098	1	MAT2
CF337	CF337	Afum_CF337	CF337	CF337	1	MAT2
CM2141	CM2141	Afum_CM2141	CM2141	CM2141	2	MAT1
CM237	CM237	Afum_CM237	CM237	CM237	1	MAT1
CM2495	CM2495	Afum_CM2495	CM2495	CM2495	3	MAT1
CM2730	CM2730	Afum_CM2730	CM2730	CM2730	3	MAT2
CM2733	CM2733	Afum_CM2733	CM2733	CM2733	3	MAT1
CM3248	CM3248	Afum_CM3248	CM3248	CM3248	1	MAT1
CM3249	CM3249	Afum_CM3249	CM3249	CM3249	3	MAT1
CM3249b	CM3249b	Afum_CM3249b	CM3249b	CM3249b	3	MAT1
CM3262	CM3262	Afum_CM3262	CM3262	CM3262	3	MAT1
CM3720	CM3720	Afum_CM3720	CM3720	CM3720	3	MAT1
CM4602	CM4602	Afum_CM4602	CM4602	CM4602	3	MAT2
CM4946	CM4946	Afum_CM4946	CM4946	CM4946	3	MAT2
CM5419	CM5419	Afum_CM5419	CM5419	CM5419	2	MAT2
CM5757	CM5757	Afum_CM5757	CM5757	CM5757	1	MAT2
CM6458	CM6458	Afum_CM6458	CM6458	CM6458	1	MAT2
CM7510	CM7510	Afum_CM7510	CM7510	CM7510	1	MAT1
CM7555	CM7555	Afum_CM7555	CM7555	CM7555	1	MAT1
CM7560	CM7560	Afum_CM7560	CM7560	CM7560	3	MAT1
CM7632	CM7632	Afum_CM7632	CM7632	CM7632	1	MAT1
D17	D17	Afum_D17	D17	D17	1	MAT1
F11628	F11628	Afum_F11628	F11628	F11628	2	MAT2
F12041	F12041	Afum_F12041	F12041	F12041	2	MAT2
F12219	F12219	Afum_F12219	F12219	F12219	1	MAT2
F12636	F12636	Afum_F12636	F12636	F12636	2	MAT1
F12865	F12865	Afum_F12865	F12865	F12865	2	MAT2
F13535	F13535	Afum_F13535	F13535	F13535	2	MAT2
F13619	F13619	Afum_F13619	F13619	F13619	2	MAT1
F13952	F13952	Afum_F13952	F13952	F13952	2	MAT2
F14403	F14403	Afum_F14403	F14403	F14403	1	MAT1
F14513G	F14513G	Afum_F14513G	F14513G	F14513G	2	MAT2
F14532	F14532	Afum_F14532	F14532	F14532	2	MAT1
F14946G	F14946G	Afum_F14946G	F14946G	F14946G	1	MAT2
F15390	F15390	Afum_F15390	F15390	F15390	2	MAT1
F15767	F15767	Afum_F15767	F15767	F15767	1	MAT2
F15927	F15927	Afum_F15927	F15927	F15927	3	MAT1
F16134	F16134	Afum_F16134	F16134	F16134	1	MAT2
F16216	F16216	Afum_F16216	F16216	F16216	2	MAT2
F16311	F16311	Afum_F16311	F16311	F16311	1	MAT1
F17582	F17582	Afum_F17582	F17582	F17582	2	MAT2
F17729	F17729	Afum_F17729	F17729	F17729	1	MAT2
F17729W	F17729W	Afum_F17729W	F17729W	F17729W	1	MAT2
F17764	F17764	Afum_F17764	F17764	F17764	1	MAT1
F18085	F18085	Afum_F18085	F18085	F18085	1	MAT1
F18149_JCVI	F18149	Afum_F18149_JCVI	F18149_JCVI	F18149	1	MAT2
F18304	F18304	Afum_F18304	F18304	F18304	1	MAT2
F18329	F18329	Afum_F18329	F18329	F18329	1	MAT1
F20063	F20063	Afum_F20063	F20063	F20063	1	MAT1
F20140	F20140	Afum_F20140	F20140	F20140	1	MAT1
F21572	F21572	Afum_F21572	F21572	F21572	2	MAT1
F21732	F21732	Afum_F21732	F21732	F21732	1	MAT1
F21857	F21857	Afum_F21857	F21857	F21857	1	MAT1
F4S1B	F4S1B	Afum_F4S1B	F4S1B	F4S1B	1	MAT1
F5211G	F5211G	Afum_F5211G	F5211G	F5211G	2	MAT1
F7763	F7763	Afum_F7763	F7763	F7763	1	MAT2
IFM_55369	IFM_55369	Afum_IFM_55369	IFM_55369	IFM_55369	1	MAT1
IFM_58026	IFM_58026	Afum_IFM_58026	IFM_58026	IFM_58026	1	MAT2
IFM_58401	IFM_58401	Afum_IFM_58401	IFM_58401	IFM_58401	1	MAT2
IFM_59056	IFM_59056	Afum_IFM_59056	IFM_59056	IFM_59056	1	MAT1
IFM_59073	IFM_59073	Afum_IFM_59073	IFM_59073	IFM_59073	1	MAT2
IFM_59355_1	IFM_59355-1	Afum_IFM_59355_1	IFM_59355_1	IFM_59355-1	1	MAT1
IFM_59355_2	IFM_59355-2	Afum_IFM_59355_2	IFM_59355_2	IFM_59355-2	1	MAT1
IFM_59356_1	IFM_59356-1	Afum_IFM_59356_1	IFM_59356_1	IFM_59356-1	1	MAT1
IFM_59356_2	IFM_59356-2	Afum_IFM_59356_2	IFM_59356_2	IFM_59356-2	1	MAT1
IFM_59359	IFM_59359	Afum_IFM_59359	IFM_59359	IFM_59359	1	unknown
IFM_59361	IFM_59361	Afum_IFM_59361	IFM_59361	IFM_59361	1	MAT1
IFM_59361_1	IFM_59361-1	Afum_IFM_59361_1	IFM_59361_1	IFM_59361-1	1	MAT1
IFM_59361_2	IFM_59361-2	Afum_IFM_59361_2	IFM_59361_2	IFM_59361-2	1	MAT1
IFM_59777	IFM_59777	Afum_IFM_59777	IFM_59777	IFM_59777	1	MAT1
IFM_60237	IFM_60237	Afum_IFM_60237	IFM_60237	IFM_60237	1	MAT1
IFM_60514	IFM_60514	Afum_IFM_60514	IFM_60514	IFM_60514	1	MAT2
IFM_61118	IFM_61118	Afum_IFM_61118	IFM_61118	IFM_61118	1	MAT1
IFM_61407	IFM_61407	Afum_IFM_61407	IFM_61407	IFM_61407	1	unknown
IFM_61578	IFM_61578	Afum_IFM_61578	IFM_61578	IFM_61578	1	MAT2
IFM_61610	IFM_61610	Afum_IFM_61610	IFM_61610	IFM_61610	1	MAT2
IFM_62516	IFM_62516	Afum_IFM_62516	IFM_62516	IFM_62516	1	MAT1
ISSF_21	ISSF_21	Afum_ISSF_21	ISSF_21	ISSF_21	1	MAT1
JN10	JN10	Afum_JN10	JN10	JN10	1	MAT1
LMB_35Aa	LMB-35Aa	Afum_LMB_35Aa	LMB_35Aa	LMB-35Aa	3	MAT1
M5960_D	M5960-D	Afum_M5960_D	M5960_D	M5960-D	1	MAT2
MO54056EXP	MO54056EXP	Afum_MO54056EXP	MO54056EP	MO54056EXP	1	MAT1
MO68507EXP	MO68507EXP	Afum_MO68507EXP	MO68507EP	MO68507EXP	1	MAT1
MO69250EXP	MO69250EXP	Afum_MO69250EXP	MO69250EP	MO69250EXP	1	MAT2
MO76959EXP	MO76959EXP	Afum_MO76959EXP	MO76959EP	MO76959EXP	1	MAT2
MO78722EXP	MO78722EXP	Afum_MO78722EXP	MO78722EP	MO78722EXP	1	MAT2
MO79587EXP	MO79587EXP	Afum_MO79587EXP	MO79587EP	MO79587EXP	3	MAT1
MO91298SB	MO91298SB	Afum_MO91298SB	MO91298SB	MO91298SB	1	MAT1
NCPF_7811	NCPF-7811	Afum_NCPF_7811	NCPF_7811	NCPF-7811	2	MAT2
NCPF_7816	NCPF-7816	Afum_NCPF_7816	NCPF_7816	NCPF-7816	2	unknown
NCPF_7820	NCPF-7820	Afum_NCPF_7820	NCPF_7820	NCPF-7820	1	MAT2
NCPF_7822	NCPF-7822	Afum_NCPF_7822	NCPF_7822	NCPF-7822	1	MAT1
RSF2S8	RSF2S8	Afum_RSF2S8	RSF2S8	RSF2S8	2	MAT2
SF1S5	SF1S5	Afum_SF1S5	SF1S5	SF1S5	2	MAT2
SF1S6	SF1S6	Afum_SF1S6	SF1S6	SF1S6	1	MAT2
SF2S6	SF2S6	Afum_SF2S6	SF2S6	SF2S6	1	MAT2
SF2S9	SF2S9	Afum_SF2S9	SF2S9	SF2S9	1	unknown
SF3S1	SF3S1	Afum_SF3S1	SF3S1	SF3S1	1	MAT1
SF3S10	SF3S10	Afum_SF3S10	SF3S10	SF3S10	1	MAT1
TP32	TP32	Afum_TP32	TP32	TP32	3	MAT1
W72310	W72310	Afum_W72310	W72310	W72310	3	MAT2
