SRR617732	F14946G	Ascomycota
SRR343145	B6079	Ascomycota
COH694	COH_694	Ascomycota
AFIS1435CDC_6	AFIS1435_CDC_6	Ascomycota
ICMP-23421	ICMP-23421	Ascomycota
DMC_AF100-12_42	DMC_AF100-12_42	Ascomycota
DMC_AF100-12_9	DMC_AF100-12_9	Ascomycota
DMC_AF100-1_11	DMC_AF100-1_11	Ascomycota
DMC_AF100-1_14	DMC_AF100-1_14	Ascomycota
DMC_AF100-1_18	DMC_AF100-1_18	Ascomycota
DMC_AF100-1_20_C	DMC_AF100-1_20_C	Ascomycota
DMC_AF100-1_20_OE	DMC_AF100-1_20_OE	Ascomycota
DMC_AF100-1_24	DMC_AF100-1_24	Ascomycota
DMC_AF100-1_3	DMC_AF100-1_3	Ascomycota
DMC_AF100-1_4	DMC_AF100-1_4	Ascomycota
DMC_AF100-1_8	DMC_AF100-1_8	Ascomycota
DMC_AF100-2B	DMC_AF100-2B	Ascomycota
DMC_AF100-3B	DMC_AF100-3B	Ascomycota
DMC_AF100-4B	DMC_AF100-4B	Ascomycota
DMC_AF100-5B	DMC_AF100-5B	Ascomycota
DMC_AF100-6B	DMC_AF100-6B	Ascomycota
DMC_AF100-7B	DMC_AF100-7B	Ascomycota
DMC_AF100-8B	DMC_AF100-8B	Ascomycota
DMC_AF100-9B	DMC_AF100-9B	Ascomycota
DMC_AF1001_15	DMC_AF1001_15	Ascomycota
204NB-8	204NB-8	Ascomycota
AF100-10A	AF100-10A	Ascomycota
AF100-10B	AF100-10B	Ascomycota
AF100-10C	AF100-10C	Ascomycota
AF100-10_5	AF100-10_5	Ascomycota
AF100-11A	AF100-11A	Ascomycota
AF100-11B	AF100-11B	Ascomycota
AF100-11C	AF100-11C	Ascomycota
AF100-11_3	AF100-11_3	Ascomycota
AF100-12_10	AF100-12_10	Ascomycota
AF100-12_13	AF100-12_13	Ascomycota
AF100-12_17	AF100-12_17	Ascomycota
AF100-12_18	AF100-12_18	Ascomycota
AF100-12_1	AF100-12_1	Ascomycota
AF100-12_21	AF100-12_21	Ascomycota
AF100-12_24	AF100-12_24	Ascomycota
